,Unnamed: 0,French,English
0,0,partie,part
1,2,chercher,search
2,4,police,police
3,16,eux,them
4,21,devrait,should
5,22,bébé,baby
6,25,vont,will
7,26,pendant,while
8,28,aucune,any
9,35,voici,here is
10,36,pourrais,could
11,37,affaire,case
12,38,donner,give
13,40,leurs,their
14,44,yeux,eyes
15,56,sois,be
16,58,matin,morning
17,61,point,point
18,62,venu,came
19,63,suite,after
20,65,venez,come
21,69,demandé,request
22,72,belle,beautiful
23,73,droit,law
24,74,aimerais,would like to
25,78,enfin,finally
26,80,parti,left
27,83,arrêter,Stop
28,88,loin,far
29,90,croire,believe
30,91,chérie,sweetheart
31,92,gros,large
32,94,aura,will have
